名称,住所,営業日,電話番号
BBQダイニング 渋谷ガーデンホール,〒150-0043 東京都渋谷区道玄坂1-7-10 新大宗ソシアルビル4F,月～日 11:00～翌5:00(L.O.4:30),050-5487-7133
Irish Pub＆RestaurantFailte,〒150-0043 東京都渋谷区道玄坂1-5-2 渋谷SEDEビル5F,"月～金 17:00～20:00(緊急事態宣言期間中の特別営業時間となります。ご迷惑おかけいたします。)
土・日・祝 15:00～20:00(緊急事態宣言期間中の特別営業時間となります。ご迷惑おかけいたします。)",050-5485-4121
和牛焼肉食べ放題 肉屋の台所 渋谷道玄坂店,〒150-0043 東京都渋谷区道玄坂2-25-17 カスミビル3F,"土・日・祝 ランチ：12:00～15:00、ディナー：16:00～23:00
月～金 16:00～24:00(L.O.23:30)",050-5485-5602
個室×イタリアン Bar CUORE（クオーレ）渋谷,〒150-0043 東京都渋谷区道玄坂1-7-1 渋谷グローリアビル3F, 12:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(昼宴会も毎日承っております。※昼間のご宴会は基本予約制になります。),050-5487-7637
GROVE 渋谷店,〒150-0002 東京都渋谷区渋谷2-19-17 4F,月～日・祝前日・祝日 18:00～翌5:00(L.O.3:30、ドリンクL.O.4:30),050-5487-9115
BBQダイニング 渋谷ガーデンスペース道玄坂店,〒150-0043 東京都渋谷区道玄坂2-9-10 松本ビル7F, 11:00～翌5:00(L.O.4:30)(ホームページはこちら（コピペ）  https://gardenspacedougenzaka.owst.jp/),050-5486-6803
鶏料理専門店×個室 とりかく 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-13-7 ヒューリック渋谷ビルB1,"月～土・祝前日 17:00～23:30(L.O.22:45、ドリンクL.O.23:00)
日・祝日 16:30～22:30(L.O.21:45、ドリンクL.O.22:00)(  営業時間外のご宴会承ります！テーブル個室、お座敷掘りごたつ個室多数ございますので、お客様の人数に合わせたお部屋をご用意。同窓会や会食、各種お集まりに貸切で営業致します。ご希望のお客様がいらっしゃいましたら当店スタッフまで気軽にお問い合わせ下さい。ご予算・お料理の内容など出来る限り、お客様のご要望にお応え致します。)",050-5484-9421
産直青魚専門 渋谷 御厨（みくりや）,〒150-0002 東京都渋谷区渋谷1-6-8 渋谷井上ビルB1, ランチ：11:30～14:30、ディナー：17:00～23:00(※新型コロナウイルス感染拡大により、店舗の営業内容が一時的に変更・休止となる場合がございます。最新情報につきましては店舗まで直接お問い合わせください。),050-5485-2479
Trattoria ＆ Bar Rebecca,〒150-0043 東京都渋谷区道玄坂2-3-2 大外ビルB1,"月～金 ディナー：17:00～20:00
土・日・祝 ディナー：15:00～20:00(【営業時間変更のお知らせ】  日頃より、Rebeccaをご利用いただき誠にありがとうございます。新型コロナウィルス感染拡大防止および、東京都の要請である営業時間を短縮に応じ、営業時間を変更させていただきます。お客さまにはご不便をおかけしますが、何卒ご理解賜りますようお願い申し上げます。)",050-5489-3123
本格わら焼きダイニング 煌煌庵‐きらきらあん‐ 渋谷総本店,〒150-0002 東京都渋谷区渋谷1-13-5 大協渋谷ビル7F,"月～金 ランチ：11:30～15:00(L.O.14:30、ドリンクL.O.14:30)
月～金・祝前日 ディナー：17:00～20:00(L.O.19:00、ドリンクL.O.19:00)",050-5487-6113
韓国料理スランジェ 渋谷ヒカリエ,〒150-8509 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ6F,月～日 11:00～22:00(L.O.21:00、ドリンクL.O.21:00),03-6434-1465
Bistro Baru De salita,〒150-0043 東京都渋谷区道玄坂2-10-7 新大宗ビル2-1F,"月～金 ランチ：11:30～14:30(L.O.14:00)((祝日は除く))
月～木・日 ディナー：17:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)
金・土・祝前日 17:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(緊急事態宣言を受け当面の営業時間を変更させていただいております。  《月～日 11：30～14：30／17：00～24：00》ご来店の際はお問い合わせを頂けましたら幸いです。)",050-5485-9351
イタリアンバル渋谷 8528（ハコニワ）,〒150-0042 東京都渋谷区宇田川町33-13 楠原ビル4F,"月～金 ディナー：17:00～22:00(L.O.21:00、ドリンクL.O.21:20)
月～金・祝前日 ランチ・カフェ：11:30～17:00(オープンから14:30まではランチパスタセットのみのご提供です。  14:30〜17:00はカフェ利用可)
土・日・祝 ランチ・カフェ：12:00～17:00、ディナー：17:00～22:00(L.O.21:00、ドリンクL.O.21:20)",050-5484-3680
博多野菜巻き串 餃子 もつ鍋 芋蔵渋谷店,〒150-0002 東京都渋谷区渋谷3-27-11 GEMS渋谷B1,"月～金 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
土 17:00～23:00(L.O.22:00、ドリンクL.O.22:30)(※行政方針に伴い1月8日(金)から当面の間休業させていただきます。  【17:00～予約したい！】【貸切りしたい！】などなどできる限り対応させて頂きます！お気軽にお申し付け下さい☆)",050-5486-2471
goo ITALIANO グーイタリアーノ 渋谷本店,〒150-0002 東京都渋谷区渋谷1-11-3 第一小山ビル1F, 11:30～20:00(L.O.19:30、ドリンクL.O.19:30),050-5485-7425
あくとり代官 鍋之進 渋谷,〒150-0043 東京都渋谷区道玄坂1-5-2 渋谷SEDE3F, 17:00～23:30(L.O.22:30、ドリンクL.O.23:00),050-5484-7042
完全個室居酒屋 座楽 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル3F," 11:00～24:00(コロナウイルス感染症対策の東京都ロードマップに則り、営業時間を上記の時間までとさせて頂きます。  何卒ご了承くださいませ。)
月～木 13:00～24:00
金・土・祝前日 13:00～翌4:00
日 13:00～23:30",050-5485-9704
渋谷 貸切 パーティ アイコン【ICON】,〒150-0043 東京都渋谷区道玄坂2-23-12 フォンティスビル3F,月～日 10:00～24:00(渋谷での貸切パーティーならアイコンで♪  貸切パーティーについての金額の相談、日程・お時間の相談など随時受け付けております。),050-5484-4405
居酒屋 土間土間 渋谷文化村通り109前店,〒150-0042 東京都渋谷区宇田川町26-2 サンルイビル6F, 13:00～20:00(L.O.19:30、ドリンクL.O.19:00)(営業時間は店舗にご確認下さい。),050-5485-3597
オーガニック＆レストラン BiOcafe（ビオカフェ）,〒150-0042 東京都渋谷区宇田川町16-14 パティオI 1F, ランチ：11:00～16:00(L.O.15:30)、カフェ：11:00～18:00、ディナー：18:00～23:00(L.O.22:00、ドリンクL.O.22:00)(緊急事態宣言発令に伴い、ディナーの営業時間を下記の通り変更いたします。  18:00〜20:00（LO19:00）),050-5485-2795
個室居酒屋 八吉 渋谷南口店,〒150-0043 東京都渋谷区道玄坂1-3-6 香山ビル1・2F,"月～木 15:00～20:00(時短要請期間中のため、PM8時閉店としております。)
金・祝前日 15:00～20:00(時短要請期間中のため、PM8時閉店としております。)
土 15:00～20:00(時短要請期間中のため、PM8時閉店としております。)
日・祝日 15:00～20:00(時短要請期間中のため、PM8時閉店としております。)",03-5456-7888
くいもの屋わん 渋谷スペイン坂店,〒150-0042 東京都渋谷区宇田川町13-7 コヤスワン5F,"月～木・日・祝日 17:00～20:00(L.O.19:30、ドリンクL.O.19:30)
金・土・祝前日 17:00～20:00(L.O.19:30、ドリンクL.O.19:30)",050-5484-9826
中国薬膳火鍋専門店 小肥羊 渋谷店,〒150-0042 東京都渋谷区宇田川町30-4 新岩崎ビル,"月～金 ランチ：11:30～14:00
 11:30～20:00(L.O.19:30、ドリンクL.O.19:00)(緊急事態宣言により01月08日～当面の間  19時30分(L.O)20時閉店となります。尚、酒類の(L.O)19時とさせて頂きます。)
月～木 ディナー：17:00～23:30(L.O.22:30)
金 ディナー：17:00～24:00(L.O.23:00)
土・祝前日 11:30～24:00(L.O.23:00)
日 11:30～23:30(L.O.22:30)",050-5489-4184
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-25-6 パークサイド共同ビル5F,"土・日・祝 ランチ：12:00～15:00、ディナー：16:00～23:00
月～金 16:00～24:00(L.O.23:30)",050-5485-4578
串天ぷらと鍋料理 日本酒原価酒蔵 渋谷宇田川町店,〒150-0042 東京都渋谷区宇田川町16-8 渋谷センタービルB1, 16:00～23:00(L.O.22:30、ドリンクL.O.22:30),050-5487-2307
タイガーデン 渋谷店,〒150-0042 東京都渋谷区宇田川町24-10 B1,"月～金 ランチ：11:30～15:00(L.O.14:30)、ディナー：17:00～23:00
土・日・祝 ランチ：11:30～17:00(L.O.16:30)、ディナー：17:00～23:00",050-5486-1346
うなぎ 徳 渋谷店,〒150-0002 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ6F,月～日 11:00～21:30(L.O.21:00)(※ただいま新型コロナ感染拡大防止のため、営業時間を短縮しています。通常 11:00～23:00（L.O22:00）※ヒカリエの営業により時間変動がある場合があります。  ※席のみのご予約は1名様3000円以上の利用からとなります。※大変混雑が予想されるため、WEB予約は平日１６：００～２０：３０に限定しております。),050-5486-1983
ハノイのホイさん,〒150-0031 東京都渋谷区桜丘町17-6 協栄ビル1F,"月～土 ランチ：11:30～15:30(L.O.15:00、ドリンクL.O.15:00)(※ランチタイムのご予約はコース料理（2500円）のみとなります（土・祝限定）。)
火～土 ディナー：17:30～22:00(L.O.21:30、ドリンクL.O.21:30)(当面の間、上記、営業時間とさせていただきます。)",03-3464-8450
渋ドラ（シブドラ）,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビルB1,"月～木 ディナー：17:00～24:30(L.O.23:30、ドリンクL.O.23:30)
金・土・祝前日 ディナー：17:00～翌1:00(L.O.24:00、ドリンクL.O.24:00)
日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:00)",050-5487-0565
蒸し屋清郎 渋谷,〒150-0041 東京都渋谷区神南1-20-16 高山ランドビルB2, 17:00～23:30(L.O.22:30、ドリンクL.O.23:00),050-5486-2434
全席個室 楽蔵うたげ 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-24-12 渋谷東映プラザ6F,"月～金・日・祝前日・祝日 17:00～23:30
土 16:00～23:30(※営業時間前も宴会可能！(早割・遅割特典有)  ※諸般の事情により、営業時間を変更させていただく事がございます。詳細はお電話にてお問合せくださいませ。)",050-5485-4728
完全貸切＆パーティ Casa Asteion【カーサアスティオン】,〒150-0044 東京都渋谷区円山町7-9 PRIOR円山B1, 12:00～24:59(パーティ時間に合わせて深夜も営業  ※予約問合せは22時迄※),050-5485-2567
渋谷 貸切パーティー H2【エイチツー】,〒150-0043 東京都渋谷区道玄坂2-8-5 DMビル 5F, 12:00～翌5:00,050-5486-7754
山城屋庄藏,〒150-0043 東京都渋谷区道玄坂2-6-4 熊谷商店ビル2F,"月～日 ランチ：12:00～15:00(L.O.14:00)
月～日 ディナー：17:00～23:00(L.O.21:30)(※緊急事態宣言発令に伴い、ディナーの営業時間を「17:00〜20:00（LO19:00）」に変更いたします。  ※15:00〜17:00の間でも希望の時間があれば御予約を承っております。)",050-5486-4610
北の味紀行と地酒　北海道 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-24-10 渋谷全線座ビル3F,"月～金 ランチ：11:30～14:30(L.O.14:00)(※祝日除く)
月～木・日・祝日 ディナー：16:00～24:00(L.O.23:30)
金・土・祝前日 ディナー：16:00～翌5:00(L.O.4:30)(※22時以降は深夜料金として10％別途頂戴いたします。※営業時間は変更になる場合がございます。詳細は店舗までお問合せください。  ※東京都の時間短縮営業要請に伴い11/28～1/7まで、全日 11:30～22:00にて営業致します。)",050-5486-0691
kawara CAFE＆DINING 宇田川店,〒150-0042 東京都渋谷区宇田川町36-6 ワールド宇田川ビル2F, ランチ・ディナー：11:45～23:30(L.O.22:30、ドリンクL.O.22:30)(※緊急事態宣言の発令に伴い、1月8日（金）より営業時間を短縮して営業します。  11:45～20:00(LO19:00)),050-5485-3924
大衆酒場×食べ放題 ぶっちぎり酒場 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-12-1 カレイド渋谷宮益坂6F,"月～土 17:00～翌5:00
日 17:00～翌5:00",050-5484-1966
串カツあらた 渋谷パルコ店,〒150-8377 東京都渋谷区宇田川町15-1 渋谷PARCOヒューリックビルB1F, ランチ：11:30～16:00(ランチタイムはランチ限定メニューのご提供です。)、ディナー：16:00～22:00(L.O.21:30、ドリンクL.O.21:45)(※緊急事態宣言の発令により、1月8日より営業時間を11:30〜20:00とさせていただきます。ご理解・ご協力のほどよろしくお願い致します。),050-5488-1660
ビストロ・ヴァンテオ,〒150-0043 東京都渋谷区道玄坂1-14-9 ソシアル道玄坂101,"月～金 ランチ：12:00～14:00(L.O.13:30)
月～土 ディナー：18:00～24:00(L.O.23:00)",050-5484-4510
げんかや 渋谷センター街店,〒150-0042 東京都渋谷区宇田川町30-3 アトラス渋谷4F,月～日 17:00～翌4:00(金、土、祝前日は翌5:00まで営業しております。(L.O.4:00)),03-3780-8026
千両,〒150-0043 東京都渋谷区道玄坂1-6-6,月～土 17:00～23:45(L.O.23:00),03-3476-4634
卓球酒場 ぽん蔵 渋谷2号店,〒150-0041 東京都渋谷区神南1-22-7 岩本ビル8F," ランチ：12:00～15:00、カフェ：15:00～17:00
月～木・日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
金・土・祝前日 ディナー：17:00～翌5:00(L.O.23:00、ドリンクL.O.4:00)(  ※営業時間を変更させていただく場合がございます。詳しくは店舗までお問い合わせください。)",050-5485-2729
和牛焼肉食べ放題 牛右衛門 ‐うしえもん‐ 渋谷本店,〒150-0042 東京都渋谷区宇田川町26-11 白馬ビル3F," 16:00～24:00(L.O.23:30、ドリンクL.O.23:30)(※緊急事態宣言中は営業時間を20:00までとさせていただきます。)
土・日・祝日 11:30～24:00(L.O.23:30、ドリンクL.O.23:30)",050-5488-7050
夜景イタリアン 創作肉バル ラブーン渋谷本店,〒150-0042 東京都渋谷区宇田川町26-11 4F,"月 17:00～24:00(L.O.23:30、ドリンクL.O.23:30)
火～木・日・祝日 16:00～24:00(L.O.23:30、ドリンクL.O.23:30)(※緊急事態宣言中は営業時間を20:00までとさせていただきます。)
金・土・祝前日 16:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)",050-5489-3567
肉バル サーロインステーキ食べ放題 COWBOY／和牛男 渋谷本店,〒150-0042 東京都渋谷区宇田川町13-16 コクサイビルA館3F, 16:00～23:00(ディナー 16:00～23:00),050-5487-6040
貸切ラウンジ 渋谷PIKARIE道玄坂本店,〒150-0043 東京都渋谷区道玄坂2-9-10 松本ビル7F, 11:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(ホームページはこちら（コピペしてください）  https://pikariehonten.owst.jp/),050-5484-6228
個室 和牛バル 肉ギャング 渋谷店,〒150-0043 東京都渋谷区道玄坂2-25-10 ベニー清建ビル5F, 15:00～24:00(L.O.23:30、ドリンクL.O.23:30)(21:45からのご予約の場合、2時間制となります。),070-1474-4332
焼き鳥しゃぶしゃぶ食べ放題×個室居酒屋 トリ一番 渋谷,〒150-0043 東京都渋谷区道玄坂2-29-13 若槻ビル2F, 12:00～20:00(L.O.19:00、ドリンクL.O.19:00),050-5487-2932
BBQ＆ビアガーデン 渋谷ガーデンルーム,〒150-0043 東京都渋谷区道玄坂1-7-10 新大宗ソシアルビル4F, 11:00～翌5:00(L.O.4:00、ドリンクL.O.4:30),050-5487-7135
食べ放題＆焼き鳥 個室バル 鳥物語 渋谷店,〒150-0043 東京都渋谷区道玄坂2-25-10 ベニー清建ビル4F, 12:00～24:30(11:00～15:00、夜12時以降でご利用の方は必ず事前にご連絡をお願いいたします。お昼宴会、深夜宴会10名様～OK！),050-5488-6934
